iter	Passed	Remaining
660	830	425
661	831	424
662	832	423
663	833	421
664	833	419
665	834	418
666	835	416
667	835	415
668	836	413
669	837	412
670	838	410
671	838	409
672	839	407
673	840	406
674	841	405
675	842	403
676	842	402
677	845	401
678	845	399
679	846	398
680	847	396
681	847	395
682	848	393
683	849	392
684	850	390
685	850	389
686	851	387
687	852	386
688	852	384
689	853	383
690	854	382
691	855	380
692	856	379
693	857	377
694	857	376
695	858	375
696	859	373
697	859	372
698	860	370
699	861	369
700	862	367
701	863	366
702	864	365
703	864	363
704	865	362
705	866	360
706	867	359
707	868	358
708	869	356
709	870	355
710	870	353
711	871	352
712	872	351
713	873	349
714	873	348
715	874	346
716	875	345
717	876	344
718	877	342
719	877	341
720	878	339
721	879	338
722	880	337
723	881	335
724	882	334
725	883	333
726	884	332
727	885	330
728	885	329
729	886	327
730	887	326
731	888	325
732	888	323
733	889	322
734	890	320
735	890	319
736	891	318
737	892	316
738	893	315
739	894	314
740	895	312
741	895	311
742	896	310
743	897	308
744	898	307
745	898	306
746	899	304
747	900	303
748	901	302
749	902	300
750	902	299
751	903	297
752	904	296
753	905	295
754	905	293
755	906	292
756	907	291
757	908	289
758	909	288
759	909	287
760	910	285
761	911	284
762	912	283
763	913	282
764	914	280
765	914	279
766	915	278
767	916	276
768	917	275
769	917	274
770	918	272
771	919	271
772	920	270
773	921	268
774	921	267
775	922	266
776	923	265
777	924	263
778	925	262
779	926	261
780	927	260
781	928	258
782	929	257
783	929	256
784	930	254
785	931	253
786	932	252
787	932	250
788	933	249
789	934	248
790	935	247
791	935	245
792	936	244
793	937	243
794	938	241
795	938	240
796	939	239
797	940	238
798	941	236
799	941	235
800	942	234
801	943	232
802	944	231
803	944	230
804	945	229
805	946	227
806	947	226
807	947	225
808	948	223
809	949	222
810	950	221
811	951	220
812	951	218
813	952	217
814	953	216
815	954	215
816	954	213
817	955	212
818	956	211
819	956	210
820	957	208
821	958	207
822	958	206
823	959	204
824	960	203
825	960	202
826	961	201
827	962	199
828	963	198
829	963	197
830	964	196
831	965	194
832	966	193
833	966	192
834	967	191
835	968	189
836	968	188
837	970	187
838	970	186
839	971	185
840	972	183
841	973	182
842	973	181
843	974	180
844	975	178
845	976	177
846	976	176
847	977	175
848	978	173
849	978	172
850	979	171
851	980	170
852	980	169
853	981	167
854	982	166
855	983	165
856	983	164
857	985	163
858	985	161
859	986	160
860	987	159
861	989	158
862	989	157
863	990	155
864	991	154
865	992	153
866	993	152
867	993	151
868	995	150
869	996	148
870	996	147
871	997	146
872	998	145
873	999	144
874	1000	142
875	1001	141
876	1002	140
877	1003	139
878	1004	138
879	1004	137
880	1005	135
881	1006	134
882	1007	133
883	1008	132
884	1009	131
885	1010	130
886	1011	128
887	1012	127
888	1013	126
889	1014	125
890	1015	124
891	1015	123
892	1016	121
893	1017	120
894	1018	119
895	1019	118
896	1020	117
897	1021	116
898	1022	114
899	1023	113
900	1023	112
901	1024	111
902	1027	110
903	1028	109
904	1029	108
905	1030	106
906	1031	105
907	1032	104
908	1033	103
909	1033	102
910	1034	101
911	1035	99
912	1036	98
913	1037	97
914	1038	96
915	1038	95
916	1039	94
917	1040	92
918	1041	91
919	1041	90
920	1042	89
921	1043	88
922	1044	87
923	1045	85
924	1045	84
925	1046	83
926	1047	82
927	1048	81
928	1049	80
929	1050	79
930	1051	77
931	1052	76
932	1052	75
933	1053	74
934	1054	73
935	1055	72
936	1055	70
937	1056	69
938	1058	68
939	1058	67
940	1059	66
941	1060	65
942	1060	64
943	1061	62
944	1062	61
945	1062	60
946	1063	59
947	1064	58
948	1065	57
949	1066	56
950	1066	54
951	1067	53
952	1068	52
953	1068	51
954	1069	50
955	1070	49
956	1070	48
957	1071	46
958	1072	45
959	1072	44
960	1073	43
961	1074	42
962	1074	41
963	1075	40
964	1076	39
965	1076	37
966	1077	36
967	1078	35
968	1078	34
969	1079	33
970	1080	32
971	1080	31
972	1081	30
973	1082	28
974	1083	27
975	1083	26
976	1084	25
977	1085	24
978	1085	23
979	1086	22
980	1087	21
981	1087	19
982	1088	18
983	1089	17
984	1090	16
985	1091	15
986	1091	14
987	1092	13
988	1093	12
989	1093	11
990	1094	9
991	1095	8
992	1096	7
993	1096	6
994	1097	5
995	1098	4
996	1098	3
997	1099	2
998	1099	1
999	1100	0
